prefix,answer
가는 날이,장날
가는 말이 고와야,오는 말이 곱다
가랑비에,옷 젖는 줄 모른다
가지 많은 나무에,바람 잘 날 없다
간에,기별도 안 간다
갈수록,태산
값싼 것이,비지떡
개구리,올챙이 적 생각 못한다
고래 싸움에,새우 등 터진다
고생 끝에,낙이 온다
공든 탑이,무너지랴
구슬이 서 말이라도,꿰어야 보배
그림의,떡
금강산도,식후경
꼬리가 길면,밟힌다
꿩 먹고,알 먹고
낮말은 새가 듣고,밤말은 쥐가 듣는다
누워서,침 뱉기
다 된 밥에,재 뿌리기
달리는 말에,채찍질
닭 쫓던 개,지붕 쳐다본다
도둑이,제 발 저리다
돌다리도,두들겨 보고 건너라
등잔 밑이,어둡다
땅 짚고,헤엄치기
똥 묻은 개가,겨 묻은 개 나무란다
뛰는 놈 위에,나는 놈 있다
말 한마디로,천 냥 빚 갚는다
모로 가도,서울만 가면 된다
목마른 사람이,우물 판다
믿는 도끼에,발등 찍힌다
바늘 도둑이,소도둑 된다
발 없는 말이,천리 간다
배보다,배꼽이 더 크다
백문이,불여일견
백지장도,맞들면 낫다
사공이 많으면,배가 산으로 간다
서당 개 삼 년에,풍월 읊는다
세 살 버릇,여든까지 간다
소 잃고,외양간 고친다
쇠귀에,경 읽기
수박,겉핥기
시작이,반이다
아니 땐 굴뚝에,연기 날까
얌전한 고양이가,부뚜막에 먼저 올라간다
원숭이도,나무에서 떨어진다
우물 안,개구리
작은 고추가,더 맵다
천 리 길도,한 걸음부터
티끌 모아,태산
